timestamp,event_type,step,symbol,trade_type,trade_size,trade_price,best_bid,best_ask,mid_price
1736380455.145118,TRADE,,AAPL,BID_CROSS,5,95.05778055665485,,,
1736380455.1451461,SNAPSHOT,107,AAPL,,,,94.86400540450683,95.05778055665485,94.96089298058084
1736380455.300139,SNAPSHOT,108,AAPL,,,,94.86400540450683,95.05778055665485,94.96089298058084
1736380455.36432,TRADE,,AAPL,BUY,4,95.05778055665485,,,
1736380455.364328,TRADE,,AAPL,BUY,3,97.18860395125304,,,
1736380455.364366,SNAPSHOT,109,AAPL,,,,94.86400540450683,97.18860395125304,96.02630467787993
1736380455.662396,TRADE,,AAPL,BUY,3,97.18860395125304,,,
1736380455.662405,TRADE,,AAPL,BUY,2,98.53775052499199,,,
1736380455.662455,SNAPSHOT,110,AAPL,,,,94.86400540450683,98.53775052499199,96.70087796474941
1736380455.989224,TRADE,,AAPL,SELL,5,94.86400540450683,,,
1736380455.9892411,TRADE,,AAPL,SELL,1,94.78024906017679,,,
1736380455.989325,SNAPSHOT,111,AAPL,,,,94.78024906017679,98.53775052499199,96.65899979258438
1736380456.647562,TRADE,,AAPL,SELL,4,94.78024906017679,,,
1736380456.647579,TRADE,,AAPL,SELL,1,94.48366196360615,,,
1736380456.647664,SNAPSHOT,112,AAPL,,,,94.48366196360615,98.53775052499199,96.51070624429907
1736380457.378696,TRADE,,AAPL,SELL,4,94.48366196360615,,,
1736380457.378756,SNAPSHOT,113,AAPL,,,,92.17753730305904,98.53775052499199,95.35764391402552
1736380457.680633,TRADE,,AAPL,BUY,1,98.53775052499199,,,
1736380457.68065,TRADE,,AAPL,BUY,4,98.66431829108932,,,
1736380457.6808069,SNAPSHOT,114,AAPL,,,,92.17753730305904,98.66431829108932,95.42092779707417
1736380458.1075141,SNAPSHOT,115,AAPL,,,,92.17753730305904,98.66431829108932,95.42092779707417
1736380458.126026,TRADE,,AAPL,BUY,1,98.66431829108932,,,
1736380458.1260438,TRADE,,AAPL,BUY,5,100.14368536183262,,,
1736380458.126327,SNAPSHOT,116,AAPL,,,,92.17753730305904,100.14368536183262,96.16061133244582
1736380458.507216,TRADE,,AAPL,SELL,5,92.17753730305904,,,
1736380458.507232,SNAPSHOT,117,AAPL,,,,,100.14368536183262,
1736380458.627529,SNAPSHOT,118,AAPL,,,,,100.14368536183262,
1736380459.373975,SNAPSHOT,119,AAPL,,,,,100.14368536183262,
1736380459.529412,TRADE,,AAPL,BUY,2,100.14368536183262,,,
1736380459.529439,SNAPSHOT,120,AAPL,,,,,100.14368536183262,
1736380459.859325,SNAPSHOT,121,AAPL,,,,,97.07272116609111,
1736380460.0302799,SNAPSHOT,122,AAPL,,,,,95.70573541242445,
1736380460.065226,TRADE,,AAPL,BUY,5,95.70573541242445,,,
1736380460.0652459,SNAPSHOT,123,AAPL,,,,,95.70573541242445,
1736380460.199081,TRADE,,AAPL,BUY,1,95.70573541242445,,,
1736380460.199098,TRADE,,AAPL,BUY,1,97.07272116609111,,,
1736380460.199102,TRADE,,AAPL,BUY,2,100.14368536183262,,,
1736380460.199121,SNAPSHOT,124,AAPL,,,,,100.14368536183262,
1736380460.3521159,TRADE,,AAPL,BUY,1,100.14368536183262,,,
1736380460.3521311,TRADE,,AAPL,BUY,5,100.48467204062685,,,
1736380460.352152,SNAPSHOT,125,AAPL,,,,,100.74156155018021,
1736380460.512276,SNAPSHOT,126,AAPL,,,,,98.01722941951422,
1736380460.603202,TRADE,,AAPL,BID_CROSS,4,98.01722941951422,,,
1736380460.603211,SNAPSHOT,127,AAPL,,,,,98.01722941951422,
1736380460.775649,TRADE,,AAPL,BUY,2,98.01722941951422,,,
1736380460.775678,SNAPSHOT,128,AAPL,,,,,98.01722941951422,
1736380460.786722,SNAPSHOT,129,AAPL,,,,,98.01722941951422,
1736380460.858592,SNAPSHOT,130,AAPL,,,,95.2421473535241,98.01722941951422,96.62968838651916
1736380461.126035,TRADE,,AAPL,SELL,8,95.2421473535241,,,
1736380461.126063,SNAPSHOT,131,AAPL,,,,,98.01722941951422,
1736380461.205363,SNAPSHOT,132,AAPL,,,,,96.53981196577217,
1736380461.828736,SNAPSHOT,133,AAPL,,,,,96.53981196577217,
1736380462.050796,SNAPSHOT,134,AAPL,,,,,96.53981196577217,
1736380462.077544,TRADE,,AAPL,BUY,5,96.53981196577217,,,
1736380462.0775611,TRADE,,AAPL,BUY,2,98.01722941951422,,,
1736380462.0775769,SNAPSHOT,135,AAPL,,,,,98.01722941951422,
1736380462.1178591,TRADE,,AAPL,BUY,1,98.01722941951422,,,
1736380462.117877,TRADE,,AAPL,BUY,5,99.32543590504234,,,
1736380462.11788,TRADE,,AAPL,BUY,3,100.74156155018021,,,
1736380462.117895,SNAPSHOT,136,AAPL,,,,,100.74156155018021,
1736380462.292765,SNAPSHOT,137,AAPL,,,,,100.74156155018021,
1736380462.374583,TRADE,,AAPL,BID_CROSS,2,100.74156155018021,,,
1736380462.374607,SNAPSHOT,138,AAPL,,,,,100.74156155018021,
1736380462.440635,TRADE,,AAPL,BID_CROSS,2,100.74156155018021,,,
1736380462.440651,TRADE,,AAPL,BID_CROSS,4,100.85443374306614,,,
1736380462.440665,SNAPSHOT,139,AAPL,,,,,100.85443374306614,
1736380462.586872,TRADE,,AAPL,BID_CROSS,1,100.85443374306614,,,
1736380462.586881,TRADE,,AAPL,BID_CROSS,1,101.25314437170474,,,
1736380462.586883,TRADE,,AAPL,BID_CROSS,2,101.81221982547606,,,
1736380462.5868852,TRADE,,AAPL,BID_CROSS,2,102.39297011676078,,,
1736380462.586915,SNAPSHOT,140,AAPL,,,,102.65114969550324,104.02046410379157,103.3358068996474
1736380462.634374,SNAPSHOT,141,AAPL,,,,103.26480757218486,104.02046410379157,103.64263583798822
1736380462.641597,SNAPSHOT,142,AAPL,,,,103.26480757218486,103.96513665653934,103.6149721143621
1736380462.66815,TRADE,,AAPL,BUY,7,103.96513665653934,,,
1736380462.66816,TRADE,,AAPL,BUY,2,104.02046410379157,,,
1736380462.668162,TRADE,,AAPL,BUY,1,104.64189374060771,,,
1736380462.6681988,SNAPSHOT,143,AAPL,,,,103.26480757218486,104.64189374060771,103.95335065639628
1736380462.92159,SNAPSHOT,144,AAPL,,,,103.26480757218486,104.64189374060771,103.95335065639628
1736380462.985313,SNAPSHOT,145,AAPL,,,,103.26480757218486,104.64189374060771,103.95335065639628
1736380463.382546,TRADE,,AAPL,BID_CROSS,7,104.64189374060771,,,
1736380463.382591,SNAPSHOT,146,AAPL,,,,107.0423251725744,108.55486737358683,107.79859627308062
1736380463.4800189,TRADE,,AAPL,BID_CROSS,7,108.55486737358683,,,
1736380463.480032,SNAPSHOT,147,AAPL,,,,112.0717865696817,,
1736380463.6561852,TRADE,,AAPL,BID_CROSS,1,97.67610183224048,,,
1736380463.6562078,SNAPSHOT,148,AAPL,,,,112.0717865696817,,
1736380463.786856,SNAPSHOT,149,AAPL,,,,112.0717865696817,,
1736380464.234705,TRADE,,AAPL,BID_CROSS,1,96.45919768015666,,,
1736380464.234721,TRADE,,AAPL,BID_CROSS,1,96.45919768015666,,,
1736380464.234735,SNAPSHOT,150,AAPL,,,,107.0423251725744,,
1736380464.42175,TRADE,,AAPL,SELL,1,107.0423251725744,,,
1736380464.4217758,SNAPSHOT,151,AAPL,,,,107.0423251725744,,
